symbol,oi_current,oi_previous,oi_change,status
21STCENMGM,0,0,0,success
20MICRONS,0,0,0,success
3IINFOLTD,0,0,0,success
360ONE,3415,3235,180,success
3MINDIA,0,0,0,success
3PLAND,0,0,0,success
63MOONS,0,0,0,success
5PAISA,0,0,0,success
AAATECH,0,0,0,success
A2ZINFRA,0,0,0,success
AADHARHFC,0,0,0,success
AAKASH,0,0,0,success
AARON,0,0,0,success
AARTECH,0,0,0,success
AAREYDRUGS,0,0,0,success
AARTIDRUGS,0,0,0,success
AARTIIND,0,0,0,success
AARTISURF,0,0,0,success
AARTIPHARM,0,0,0,success
AARVI,0,0,0,success
AAVAS,0,0,0,success
ABBOTINDIA,0,0,0,success
ABAN,0,0,0,success
ABCAPITAL,11967,10835,1132,success
ABCOTS,0,0,0,success
ABB,10629,10234,395,success
ABDL,0,0,0,success
ABFRL,0,0,0,success
ABINFRA,0,0,0,success
ABLBL,0,0,0,success
ABREL,0,0,0,success
ABMINTLLTD,0,0,0,success
ACC,0,0,0,success
ACCELYA,0,0,0,success
ACCURACY,0,0,0,success
ACE,0,0,0,success
ABSLAMC,0,0,0,success
ACEINTEG,0,0,0,success
ACI,0,0,0,success
ACL,0,0,0,success
ACMESOLAR,0,0,0,success
ACLGATI,0,0,0,success
ACUTAAS,0,0,0,success
ADFFOODS,0,0,0,success
ADANIPOWER,0,0,0,success
ADANIGREEN,35909,35356,553,success
ADANIENT,50135,46260,3875,success
ADSL,0,0,0,success
